,doc_id,original_tokens,tokens,prediction,truth
0,0,soccer,1733,O,O
1,0,-,11,O,O
2,0,japan,361,O,B-LOC
3,0,get,169,O,O
4,0,lucky,5065,O,O
5,0,win,320,O,O
6,0,",",1,B-PER,O
7,0,china,132,O,B-PER
8,0,in,6,O,O
9,0,surprise,2661,O,O
10,0,defeat,1841,O,O
11,0,,,,
12,1,nadim,63897,B-PER,B-PER
13,1,,,,
14,2,al-ain,313156,B-PER,B-LOC
15,2,",",1,B-PER,O
16,2,united,104,O,B-LOC
17,2,arab,1093,O,I-LOC
18,2,emirates,5925,B-PER,I-LOC
19,2,,,,
20,3,japan,361,O,B-LOC
21,3,began,309,O,O
22,3,the,0,B-PER,O
23,3,defence,2202,O,O
24,3,of,3,O,O
25,3,their,44,O,O
26,3,asian,967,O,B-MISC
27,3,cup,366,O,I-MISC
28,3,title,698,O,O
29,3,with,17,O,O
30,3,a,7,O,O
31,3,lucky,5065,O,O
32,3,2-1,4040,O,O
33,3,win,320,O,O
34,3,against,98,O,O
35,3,syria,2035,O,B-LOC
36,3,in,6,O,O
37,3,a,7,O,O
38,3,group,129,O,O
39,3,c,1864,O,O
40,3,championship,879,O,O
41,3,match,550,O,O
42,3,on,13,O,O
43,3,friday,185,O,O
44,3,,,,
45,4,but,34,O,O
46,4,china,132,O,B-LOC
47,4,saw,822,O,O
48,4,their,44,O,O
49,4,luck,5556,B-PER,O
50,4,desert,3731,O,O
51,4,them,101,O,O
52,4,in,6,O,O
53,4,the,0,B-PER,O
54,4,second,126,O,O
55,4,match,550,O,O
56,4,of,3,O,O
57,4,the,0,B-PER,O
58,4,group,129,B-PER,O
59,4,",",1,B-PER,O
60,4,crashing,11928,B-PER,O
61,4,to,4,O,O
62,4,a,7,O,O
63,4,surprise,2661,O,O
64,4,2-0,4106,O,O
65,4,defeat,1841,O,O
66,4,to,4,O,O
67,4,newcomers,11941,B-PER,O
68,4,uzbekistan,7429,O,B-LOC
69,4,,,,
70,5,china,132,O,B-LOC
71,5,controlled,2016,O,O
72,5,most,96,O,O
73,5,of,3,O,O
74,5,the,0,B-PER,O
75,5,match,550,O,O
76,5,and,5,O,O
77,5,saw,822,O,O
78,5,several,201,O,O
79,5,chances,2761,O,O
80,5,missed,2132,O,O
81,5,until,207,O,O
82,5,the,0,B-PER,O
83,5,78th,25740,B-PER,O
84,5,minute,1214,O,O
85,5,when,61,O,O
86,5,uzbek,12627,O,B-MISC
87,5,striker,3246,B-PER,O
88,5,igor,8626,B-PER,B-PER
89,5,shkvyrin,400000,B-PER,I-PER
90,5,took,247,O,O
91,5,advantage,1979,B-PER,O
92,5,of,3,O,O
93,5,a,7,O,O
94,5,misdirected,58264,B-PER,O
95,5,defensive,2820,B-PER,O
96,5,header,7961,B-PER,O
97,5,to,4,O,O
98,5,lob,28315,B-PER,O
99,5,the,0,B-PER,O
100,5,ball,1083,O,O
101,5,over,74,O,O
102,5,the,0,B-PER,O
103,5,advancing,6561,O,O
104,5,chinese,327,B-PER,B-MISC
105,5,keeper,7529,O,O
106,5,and,5,O,O
107,5,into,75,O,O
108,5,an,29,O,O
109,5,empty,3920,O,O
110,5,net,1050,O,O
111,5,,,,
112,6,oleg,16840,B-PER,B-PER
113,6,shatskiku,400000,B-PER,I-PER
114,6,made,116,O,O
115,6,sure,1085,B-PER,O
116,6,of,3,O,O
117,6,the,0,B-PER,O
118,6,win,320,O,O
119,6,in,6,B-PER,O
120,6,injury,1553,O,O
121,6,time,79,O,O
122,6,",",1,B-PER,O
123,6,hitting,3141,B-PER,O
124,6,an,29,O,O
125,6,unstoppable,23630,B-PER,O
126,6,left,218,O,O
127,6,foot,2149,B-PER,O
128,6,shot,635,B-PER,O
129,6,from,25,B-PER,O
130,6,just,120,O,O
131,6,outside,587,B-PER,O
132,6,the,0,B-PER,O
133,6,area,237,O,O
134,6,,,,
135,7,the,0,B-PER,O
136,7,former,157,O,O
137,7,soviet,1332,O,B-MISC
138,7,republic,874,O,O
139,7,was,15,O,O
140,7,playing,697,O,O
141,7,in,6,O,O
142,7,an,29,O,O
143,7,asian,967,O,B-MISC
144,7,cup,366,O,I-MISC
145,7,finals,2235,O,O
146,7,tie,2668,O,O
147,7,for,10,O,O
148,7,the,0,B-PER,O
149,7,first,58,O,O
150,7,time,79,O,O
151,7,,,,
152,8,despite,504,O,O
153,8,winning,877,O,O
154,8,the,0,B-PER,O
155,8,asian,967,O,B-MISC
156,8,games,290,O,I-MISC
157,8,title,698,O,O
158,8,two,55,O,O
159,8,years,82,O,O
160,8,ago,363,O,O
